trading_session_uuid,trader_uuid,trader_type,event_name,element_type,element_id,element_label,client_ts,server_received_ts,payload_json,created_ts
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,a415b3a2-d76d-4f31-8ddd-bdf441257d88,HUMAN,shown,trend_alert,down-streak,down-streak,2026-05-20T20:05:21.317Z,2026-05-20T20:05:21.393769+00:00,"{""client_ts"": ""2026-05-20T20:05:21.317Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""a415b3a2-d76d-4f31-8ddd-bdf441257d88""}",1779307521.40136
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,0dfc44c4-9a29-46a9-8b14-42a4bda28f5c,HUMAN,shown,trend_alert,down-streak,down-streak,2026-05-20T20:05:21.332Z,2026-05-20T20:05:21.405465+00:00,"{""client_ts"": ""2026-05-20T20:05:21.332Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""0dfc44c4-9a29-46a9-8b14-42a4bda28f5c""}",1779307521.412642
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,bb1de49e-9922-4e51-bf38-42f79bfa10dd,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-20T20:06:05.086Z,2026-05-20T20:06:05.100862+00:00,"{""client_ts"": ""2026-05-20T20:06:05.086Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""bb1de49e-9922-4e51-bf38-42f79bfa10dd""}",1779307565.108974
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,b36c610c-8e4d-4bcb-b3bf-9233bc19bd59,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-20T20:06:05.027Z,2026-05-20T20:06:05.113791+00:00,"{""client_ts"": ""2026-05-20T20:06:05.027Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""b36c610c-8e4d-4bcb-b3bf-9233bc19bd59""}",1779307565.121803
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,a415b3a2-d76d-4f31-8ddd-bdf441257d88,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-20T20:06:05.067Z,2026-05-20T20:06:05.125595+00:00,"{""client_ts"": ""2026-05-20T20:06:05.067Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""a415b3a2-d76d-4f31-8ddd-bdf441257d88""}",1779307565.133429
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,bd8df300-e107-4fb6-a1a9-1ee4f9ce263f,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-20T20:06:05.066Z,2026-05-20T20:06:05.137172+00:00,"{""client_ts"": ""2026-05-20T20:06:05.066Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""bd8df300-e107-4fb6-a1a9-1ee4f9ce263f""}",1779307565.145011
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,3cc0e1ca-01ec-458e-a73f-5f979015e052,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-20T20:06:05.111Z,2026-05-20T20:06:05.149552+00:00,"{""client_ts"": ""2026-05-20T20:06:05.111Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""3cc0e1ca-01ec-458e-a73f-5f979015e052""}",1779307565.156916
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,0dfc44c4-9a29-46a9-8b14-42a4bda28f5c,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-20T20:06:05.082Z,2026-05-20T20:06:05.160715+00:00,"{""client_ts"": ""2026-05-20T20:06:05.082Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""0dfc44c4-9a29-46a9-8b14-42a4bda28f5c""}",1779307565.168204
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,a415b3a2-d76d-4f31-8ddd-bdf441257d88,HUMAN,shown,trend_alert,down-streak,down-streak,2026-05-20T20:06:40.079Z,2026-05-20T20:06:40.113494+00:00,"{""client_ts"": ""2026-05-20T20:06:40.079Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""a415b3a2-d76d-4f31-8ddd-bdf441257d88""}",1779307600.12182
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,b36c610c-8e4d-4bcb-b3bf-9233bc19bd59,HUMAN,shown,trend_alert,down-streak,down-streak,2026-05-20T20:06:40.038Z,2026-05-20T20:06:40.126428+00:00,"{""client_ts"": ""2026-05-20T20:06:40.038Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""b36c610c-8e4d-4bcb-b3bf-9233bc19bd59""}",1779307600.133281
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,0dfc44c4-9a29-46a9-8b14-42a4bda28f5c,HUMAN,shown,trend_alert,down-streak,down-streak,2026-05-20T20:06:40.094Z,2026-05-20T20:06:40.136791+00:00,"{""client_ts"": ""2026-05-20T20:06:40.094Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""0dfc44c4-9a29-46a9-8b14-42a4bda28f5c""}",1779307600.143974
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,bb1de49e-9922-4e51-bf38-42f79bfa10dd,HUMAN,shown,trend_alert,down-streak,down-streak,2026-05-20T20:06:40.101Z,2026-05-20T20:06:40.147460+00:00,"{""client_ts"": ""2026-05-20T20:06:40.101Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""bb1de49e-9922-4e51-bf38-42f79bfa10dd""}",1779307600.154638
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,3cc0e1ca-01ec-458e-a73f-5f979015e052,HUMAN,shown,trend_alert,down-streak,down-streak,2026-05-20T20:06:40.123Z,2026-05-20T20:06:40.158667+00:00,"{""client_ts"": ""2026-05-20T20:06:40.123Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""3cc0e1ca-01ec-458e-a73f-5f979015e052""}",1779307600.165919
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,bd8df300-e107-4fb6-a1a9-1ee4f9ce263f,HUMAN,shown,trend_alert,down-streak,down-streak,2026-05-20T20:06:40.082Z,2026-05-20T20:06:40.170048+00:00,"{""client_ts"": ""2026-05-20T20:06:40.082Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""bd8df300-e107-4fb6-a1a9-1ee4f9ce263f""}",1779307600.177303
32f83e1a-8f9b-4533-82cc-9d1a1ceded46,d2123171-a761-420f-9ca0-9fc0a54b2e13,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-20T20:06:46.080Z,2026-05-20T20:06:46.017639+00:00,"{""client_ts"": ""2026-05-20T20:06:46.080Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""d2123171-a761-420f-9ca0-9fc0a54b2e13""}",1779307606.026237
32f83e1a-8f9b-4533-82cc-9d1a1ceded46,957560c7-bf61-4449-bb07-a260f24dc622,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-20T20:06:46.034Z,2026-05-20T20:06:46.029910+00:00,"{""client_ts"": ""2026-05-20T20:06:46.034Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""957560c7-bf61-4449-bb07-a260f24dc622""}",1779307606.036938
