market_uuid,trading_day,n_traders,avg_age,share_female,share_finance_course,share_trading_experience,share_high_education,avg_fin_quiz,sd_fin_quiz,avg_self_assessment,avg_overconfidence,sd_overconfidence,avg_cq_attempts,share_algo_belief,avg_wealth,sd_wealth,gini,avg_forecast,sd_forecast,share_feedback,share_speculator,share_fundamental,share_other,repetition,gamified,hybrid,algo_present,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,cum_surge,cum_crash,cum_bubble_period
17f3bde5-9e00-47d0-8909-b138b266b325,1,6,29.166666666666668,0.16666666666666666,0.3333333333333333,0.0,1.0,0.7222222222222222,0.16386534670836253,4.833333333333333,-0.23888888888888893,0.3468375647133631,2.3333333333333335,,5100.0,142.08870468830366,0.013246187363834422,,,0.16666666666666666,0.25,0.25,0.3333333333333333,1,0,human_only,0,2.0,105.5,-14.5,14.5,112.0,99.0,112.0,99.0,120,,,112.0,,0.12083333333333333,0,0,-0.12083333333333333,0,0,0,0,0
a5f35780-eeec-48f3-bd11-2a02633bc450,1,5,25.2,0.4,0.2,0.4,0.8,0.7833333333333333,0.2400810048481322,4.2,-0.36333333333333334,0.4641898557941807,1.6,,5048.0,83.29465769183517,0.00786053882725832,,,0.1,0.3,0.6,0.0,1,1,human_only,0,1.0,86.0,-34.0,34.0,86.0,86.0,86.0,86.0,120,,,84.99,,0.2833333333333333,0,0,-0.2833333333333333,0,0,0,0,0
17f3bde5-9e00-47d0-8909-b138b266b325,2,6,29.166666666666668,0.16666666666666666,0.3333333333333333,0.0,1.0,0.7222222222222222,0.16386534670836253,4.833333333333333,-0.23888888888888893,0.3468375647133631,2.3333333333333335,,5137.333333333333,116.76243688218699,0.010500475819707587,,,0.16666666666666666,0.25,0.25,0.3333333333333333,1,0,human_only,0,0.0,,,,112.0,,,,112,112.0,,95.0,0.0,,0,0,,0,0,0,0,0
a5f35780-eeec-48f3-bd11-2a02633bc450,2,5,25.2,0.4,0.2,0.4,0.8,0.7833333333333333,0.2400810048481322,4.2,-0.36333333333333334,0.4641898557941807,1.6,,5065.6,87.7739998518925,0.008086544535691737,,,0.1,0.3,0.6,0.0,1,1,human_only,0,3.0,87.66000000000001,-24.340000000000003,24.340000000000003,84.99,89.99,89.99,84.99,112,86.0,,72.0,-0.011744186046511729,0.2173214285714286,0,0,-0.21732142857142847,0,0,0,0,0
17f3bde5-9e00-47d0-8909-b138b266b325,3,6,29.166666666666668,0.16666666666666666,0.3333333333333333,0.0,1.0,0.7222222222222222,0.16386534670836253,4.833333333333333,-0.23888888888888893,0.3468375647133631,2.3333333333333335,,5068.0,93.0118272049312,0.008802508111900377,0.0,36.742346141747674,0.16666666666666666,0.25,0.25,0.3333333333333333,1,0,human_only,0,3.0,96.0,-8.0,8.0,95.0,100.0,100.0,93.0,104,112.0,112.0,90.5,-0.1517857142857143,0.07692307692307693,0,0,-0.07692307692307693,0,0,0,0,0
a5f35780-eeec-48f3-bd11-2a02633bc450,3,5,25.2,0.4,0.2,0.4,0.8,0.7833333333333333,0.2400810048481322,4.2,-0.36333333333333334,0.4641898557941807,1.6,,5030.4,56.481369494728014,0.0053276081424936395,0.0,0.0,0.1,0.3,0.6,0.0,1,1,human_only,0,6.0,84.665,-19.335,19.335,72.0,88.0,89.0,72.0,104,84.99,86.0,67.0,-0.1528415107659724,0.18591346153846156,0,0,-0.18591346153846147,0,0,0,0,0
17f3bde5-9e00-47d0-8909-b138b266b325,4,6,29.166666666666668,0.16666666666666666,0.3333333333333333,0.0,1.0,0.7222222222222222,0.16386534670836253,4.833333333333333,-0.23888888888888893,0.3468375647133631,2.3333333333333335,,5270.0,65.22192882765728,0.005966687750368965,,,0.16666666666666666,0.25,0.25,0.3333333333333333,1,0,human_only,0,2.0,90.75,-5.25,5.25,90.5,91.0,91.0,90.5,96,95.0,112.0,88.5,-0.047368421052631615,0.0546875,0,0,-0.0546875,0,0,0,0,0
a5f35780-eeec-48f3-bd11-2a02633bc450,4,5,25.2,0.4,0.2,0.4,0.8,0.7833333333333333,0.2400810048481322,4.2,-0.36333333333333334,0.4641898557941807,1.6,,5254.2,180.00616683880577,0.01711423242358495,,,0.1,0.3,0.6,0.0,1,1,human_only,0,4.0,72.75,-23.25,23.25,67.0,79.0,79.0,67.0,96,72.0,84.99,70.5,-0.06944444444444442,0.2421875,0,0,-0.2421875,0,0,0,0,0
17f3bde5-9e00-47d0-8909-b138b266b325,5,6,29.166666666666668,0.16666666666666666,0.3333333333333333,0.0,1.0,0.7222222222222222,0.16386534670836253,4.833333333333333,-0.23888888888888893,0.3468375647133631,2.3333333333333335,,5443.333333333333,164.0142270251781,0.015518473157787304,,,0.16666666666666666,0.25,0.25,0.3333333333333333,1,0,human_only,0,5.0,89.6,1.6,1.6,88.5,90.5,90.5,88.5,88,90.5,95.0,70.0,-0.02209944751381221,0.018181818181818184,0,0,0.01818181818181812,0,0,0,0,0
a5f35780-eeec-48f3-bd11-2a02633bc450,5,5,25.2,0.4,0.2,0.4,0.8,0.7833333333333333,0.2400810048481322,4.2,-0.36333333333333334,0.4641898557941807,1.6,,5425.8,238.40953756089525,0.021806922481477385,,,0.1,0.3,0.6,0.0,1,1,human_only,0,5.0,69.0,-19.0,19.0,70.5,68.0,70.5,67.5,88,67.0,72.0,64.0,0.052238805970149294,0.2159090909090909,0,0,-0.2159090909090909,0,0,0,0,0
