participant_code,trader_uuid,trading_session_uuid,round_number_raw,num_shares,current_cash,forecast_price_next_day,forecast_confidence_next_day,payoff,repetition,trading_day,market_id,gamified,hybrid,treatment,market_design,group_composition,id_in_group,self_assessed_literacy,fin_quiz_correct,fin_quiz_total,age,gender,trading_experience,fin_quiz_score,overconfidence,lag_num_shares,holding_change,closing_price,lag_price,delta_p,forecast_gap,z_age,z_fin_quiz_score,z_overconfidence,z_trading_experience
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,4397451b-fa5f-4b8f-b86e-278d272e1d68,1,20.0,2600.0,,,0.0,1,1,4397451b-fa5f-4b8f-b86e-278d272e1d68,1,0,gh,gamified,human_only,5,5,8,12,44,Other,0,0.6666666666666666,-0.16666666666666663,,,,,,,1.2093048832505364,0.4750055284950274,-0.8521672945646949,-0.7051398600435392
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,4397451b-fa5f-4b8f-b86e-278d272e1d68,2,19.0,2860.0,,,0.0,1,2,4397451b-fa5f-4b8f-b86e-278d272e1d68,1,0,gh,gamified,human_only,5,5,8,12,44,Other,0,0.6666666666666666,-0.16666666666666663,20.0,-1.0,110.0,,,,1.2093048832505364,0.4750055284950274,-0.8521672945646949,-0.7051398600435392
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,4397451b-fa5f-4b8f-b86e-278d272e1d68,3,19.0,3012.0,70.0,3.0,0.0,1,3,4397451b-fa5f-4b8f-b86e-278d272e1d68,1,0,gh,gamified,human_only,5,5,8,12,44,Other,0,0.6666666666666666,-0.16666666666666663,19.0,0.0,70.0,110.0,-40.0,0.0,1.2093048832505364,0.4750055284950274,-0.8521672945646949,-0.7051398600435392
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,4397451b-fa5f-4b8f-b86e-278d272e1d68,4,20.0,3292.0,,,0.0,1,4,4397451b-fa5f-4b8f-b86e-278d272e1d68,1,0,gh,gamified,human_only,5,5,8,12,44,Other,0,0.6666666666666666,-0.16666666666666663,19.0,1.0,100.0,70.0,30.0,,1.2093048832505364,0.4750055284950274,-0.8521672945646949,-0.7051398600435392
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,4397451b-fa5f-4b8f-b86e-278d272e1d68,5,20.0,3692.0,,,0.0,1,5,4397451b-fa5f-4b8f-b86e-278d272e1d68,1,0,gh,gamified,human_only,5,5,8,12,44,Other,0,0.6666666666666666,-0.16666666666666663,20.0,0.0,110.0,100.0,10.0,,1.2093048832505364,0.4750055284950274,-0.8521672945646949,-0.7051398600435392
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,4397451b-fa5f-4b8f-b86e-278d272e1d68,6,20.0,3772.0,5.0,2.0,0.0,1,6,4397451b-fa5f-4b8f-b86e-278d272e1d68,1,0,gh,gamified,human_only,5,5,8,12,44,Other,0,0.6666666666666666,-0.16666666666666663,20.0,0.0,110.0,110.0,0.0,-105.0,1.2093048832505364,0.4750055284950274,-0.8521672945646949,-0.7051398600435392
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,4397451b-fa5f-4b8f-b86e-278d272e1d68,7,20.0,4172.0,,,0.0,1,7,4397451b-fa5f-4b8f-b86e-278d272e1d68,1,0,gh,gamified,human_only,5,5,8,12,44,Other,0,0.6666666666666666,-0.16666666666666663,20.0,0.0,120.0,110.0,10.0,,1.2093048832505364,0.4750055284950274,-0.8521672945646949,-0.7051398600435392
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,4397451b-fa5f-4b8f-b86e-278d272e1d68,8,20.0,4252.0,,,0.0,1,8,4397451b-fa5f-4b8f-b86e-278d272e1d68,1,0,gh,gamified,human_only,5,5,8,12,44,Other,0,0.6666666666666666,-0.16666666666666663,20.0,0.0,120.0,120.0,0.0,,1.2093048832505364,0.4750055284950274,-0.8521672945646949,-0.7051398600435392
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,4397451b-fa5f-4b8f-b86e-278d272e1d68,9,20.0,4652.0,2.0,3.0,0.0,1,9,4397451b-fa5f-4b8f-b86e-278d272e1d68,1,0,gh,gamified,human_only,5,5,8,12,44,Other,0,0.6666666666666666,-0.16666666666666663,20.0,0.0,105.0,120.0,-15.0,-103.0,1.2093048832505364,0.4750055284950274,-0.8521672945646949,-0.7051398600435392
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,4397451b-fa5f-4b8f-b86e-278d272e1d68,10,20.0,4652.0,,,0.0,1,10,4397451b-fa5f-4b8f-b86e-278d272e1d68,1,0,gh,gamified,human_only,5,5,8,12,44,Other,0,0.6666666666666666,-0.16666666666666663,20.0,0.0,150.0,105.0,45.0,,1.2093048832505364,0.4750055284950274,-0.8521672945646949,-0.7051398600435392
