market_id,repetition,trading_day,n_trades,avg_trade_price,closing_price,opening_price,max_price,min_price,fundamental_value,gamified,hybrid,treatment,market_design,group_composition,average_mispricing,absolute_mispricing,abs_mispricing_ratio,lag_price,lead_price,delta_p,lead_delta_p,return,normalized_mispricing,surge,crash,bubble_period,bubble_start
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,2,2,105.0,110.0,100.0,110.0,100.0,112,1,0,gh,gamified,human_only,-7.0,7.0,0.0625,,70.0,,-40.0,,-0.0625,0,0,0,0
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,3,2,85.0,70.0,100.0,100.0,70.0,104,1,0,gh,gamified,human_only,-19.0,19.0,0.18269230769230768,110.0,100.0,-40.0,30.0,-0.36363636363636365,-0.18269230769230768,0,0,0,0
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,4,3,100.0,100.0,100.0,100.0,100.0,96,1,0,gh,gamified,human_only,4.0,4.0,0.041666666666666664,70.0,110.0,30.0,10.0,0.42857142857142855,0.041666666666666664,0,0,0,0
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,5,1,110.0,110.0,110.0,110.0,110.0,88,1,0,gh,gamified,human_only,22.0,22.0,0.25,100.0,110.0,10.0,0.0,0.1,0.25,0,0,0,0
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,6,3,110.0,110.0,110.0,110.0,110.0,80,1,0,gh,gamified,human_only,30.0,30.0,0.375,110.0,120.0,0.0,10.0,0.0,0.375,0,0,0,0
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,7,2,115.0,120.0,110.0,120.0,110.0,72,1,0,gh,gamified,human_only,43.0,43.0,0.5972222222222222,110.0,120.0,10.0,0.0,0.09090909090909091,0.5972222222222222,0,0,0,0
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,8,2,120.0,120.0,120.0,120.0,120.0,64,1,0,gh,gamified,human_only,56.0,56.0,0.875,120.0,105.0,0.0,-15.0,0.0,0.875,0,0,0,0
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,9,3,120.0,105.0,120.0,135.0,105.0,56,1,0,gh,gamified,human_only,64.0,64.0,1.1428571428571428,120.0,150.0,-15.0,45.0,-0.125,1.1428571428571428,0,0,0,0
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,10,2,135.0,150.0,120.0,150.0,120.0,48,1,0,gh,gamified,human_only,87.0,87.0,1.8125,105.0,70.0,45.0,-80.0,0.42857142857142855,1.8125,0,0,0,0
4397451b-fa5f-4b8f-b86e-278d272e1d68,1,11,4,117.5,70.0,150.0,150.0,70.0,40,1,0,gh,gamified,human_only,77.5,77.5,1.9375,150.0,90.0,-80.0,20.0,-0.5333333333333333,1.9375,0,0,0,0
