market_uuid,trading_day,quoted_spread,rel_quoted_spread,depth_best,pct_two_sided,rel_eff_spread,rv_mid,n_trades,treatment,repetition,gkey,sess,trader_day_directionality
17f3bde5-9e00-47d0-8909-b138b266b325,1,10.693600530677767,0.11301631707403138,3.216679666475517,0.9606558813903108,0.15384615384615385,0.3549156974913023,2,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,1.0
17f3bde5-9e00-47d0-8909-b138b266b325,2,2.7476342566056235,0.028947373079422575,3.1557263104085203,1.0,,0.37823352656514064,0,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,
17f3bde5-9e00-47d0-8909-b138b266b325,3,4.710189142736707,0.0497865436406357,3.443365452911204,1.0,0.04943163058346304,0.024446902023503112,3,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,1.0
17f3bde5-9e00-47d0-8909-b138b266b325,4,0.6456662796403522,0.007110990508499623,2.229245181346399,1.0,0.002770083102493075,0.39189126017559495,2,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,1.0
17f3bde5-9e00-47d0-8909-b138b266b325,5,4.355741078152913,0.05144606129139311,2.593907429339499,1.0,0.08390614672835427,0.263176678244464,5,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,1.0
17f3bde5-9e00-47d0-8909-b138b266b325,6,14.988498635955619,0.25628363753507777,2.4201484974490257,1.0,1.6592455163883735,0.4736791099883552,6,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,0.6666666666666666
17f3bde5-9e00-47d0-8909-b138b266b325,7,24.71265158476442,0.39440450575592273,2.0635300267081806,1.0,0.23583224998796284,0.5057749898719839,7,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,1.0
17f3bde5-9e00-47d0-8909-b138b266b325,8,11.945809596470596,0.18395363257638941,2.867337458899459,1.0,0.772021672021672,0.2563527234471861,6,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,0.8
17f3bde5-9e00-47d0-8909-b138b266b325,9,5.852770931844926,0.10451749816713872,2.406920773390709,1.0,0.5737179487179487,0.27702930333284065,4,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,1.0
17f3bde5-9e00-47d0-8909-b138b266b325,10,4.494895701027891,0.09381509025631346,3.424699203659391,1.0,0.06736842105263158,0.09975599125187294,5,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,0.375
17f3bde5-9e00-47d0-8909-b138b266b325,11,13.735470915746802,0.3286343672125859,3.417348043808037,1.0,1.282079646017699,0.4867524098892465,10,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,0.7222222222222222
17f3bde5-9e00-47d0-8909-b138b266b325,12,12.059665370801817,0.36055351450937284,2.709893510788301,1.0,2.791666666666667,0.9690585390306344,7,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,0.8333333333333334
17f3bde5-9e00-47d0-8909-b138b266b325,13,8.330403473852423,0.31923484217489695,2.6381406465340906,1.0,2.59375,1.035348386682257,8,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,0.6666666666666666
17f3bde5-9e00-47d0-8909-b138b266b325,14,6.641330960622445,0.43893329187084823,4.260486869789432,1.0,0.6190476190476192,0.6142264201239789,7,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,0.75
17f3bde5-9e00-47d0-8909-b138b266b325,15,3.404889899243674,0.38213952638305615,2.9291458701106787,1.0,0.23569023569023564,0.3322093581982787,11,ng,1,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,0.7666666666666666
520e90a9-5e9e-4bfa-8244-34e70674e93f,1,4.1692633725117885,0.03897631256248997,2.169829385618012,0.9720355312061997,0.08695652173913043,0.2878133693645137,2,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,1.0
520e90a9-5e9e-4bfa-8244-34e70674e93f,2,10.126857818831521,0.09811248253577967,2.0720875330594954,0.8717329222124726,0.08063052500243549,0.2140904983026955,6,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.7777777777777777
520e90a9-5e9e-4bfa-8244-34e70674e93f,3,5.602026441580414,0.06021301825780715,2.0929515185346146,0.35982230150850136,0.20378312692380804,0.24358618042425292,10,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.6900000000000001
520e90a9-5e9e-4bfa-8244-34e70674e93f,4,4.9122154083351575,0.05698493497395898,2.0,0.9869392426396463,0.09504078897802151,0.07665686482366163,5,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.7333333333333333
520e90a9-5e9e-4bfa-8244-34e70674e93f,5,2.203416811789607,0.026249772323507427,2.234010922575243,0.9790172730651416,0.13338504452632047,0.08859940699959272,7,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.8857142857142858
520e90a9-5e9e-4bfa-8244-34e70674e93f,6,3.5792136605237834,0.04891265974674628,2.6808885082964307,1.0,0.2535863328116849,0.10333530583138248,9,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.6
520e90a9-5e9e-4bfa-8244-34e70674e93f,7,6.040133243896236,0.09127770191570506,2.493537628215481,1.0,0.26855417203873067,0.18328560356121318,6,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.9
520e90a9-5e9e-4bfa-8244-34e70674e93f,8,3.322545879994638,0.0526069955335334,2.162932445884172,1.0,0.538023592569047,0.14121512440731043,11,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.9
520e90a9-5e9e-4bfa-8244-34e70674e93f,9,2.6808790406909035,0.04656353401266917,2.0239384834545535,0.87022605709968,1.1850796293924255,0.3988807122189542,6,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.8400000000000001
520e90a9-5e9e-4bfa-8244-34e70674e93f,10,5.591121825489967,0.12810452536235836,2.2307188090849426,0.9553159056455243,0.7459207459207459,0.3878605692520034,11,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.7916666666666666
520e90a9-5e9e-4bfa-8244-34e70674e93f,11,7.112183979404884,0.19340310433421404,2.164660726289601,0.9700956531939577,0.8065573770491804,0.29312360084797046,5,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.8666666666666666
520e90a9-5e9e-4bfa-8244-34e70674e93f,12,3.110306873208709,0.12384070256401189,2.0933325548148938,0.9090556217390285,1.5158974358974358,0.3254211032925907,5,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.9333333333333332
520e90a9-5e9e-4bfa-8244-34e70674e93f,13,2.3738598350142928,0.10729780802774966,2.0356812354726195,0.9461026000611261,0.9422482685135851,0.34419106993383497,10,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.6
520e90a9-5e9e-4bfa-8244-34e70674e93f,14,1.0053386996063134,0.05181772732716274,2.158205782255391,0.9629755741304586,0.08564198188598801,0.09060443299968717,8,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.8690476190476191
520e90a9-5e9e-4bfa-8244-34e70674e93f,15,0.6143716626397153,0.03294879245706374,2.0808351084758754,1.0,0.04699453551912573,0.0468896313417356,5,ghp,2,hk3teh8u|kmcc2p31|qhz5zte3|snooaw5j|twrkr7hz|viseix7p,20260512,0.875
5273b4e4-2b4f-47fa-834f-bd0d84d237b0,1,6.552158422229301,0.057423978602769855,2.8834036814011146,0.9934634662839767,0.030201839682951048,0.07102701536593486,3,ng,2,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,1.0
5273b4e4-2b4f-47fa-834f-bd0d84d237b0,2,7.467980322298594,0.085145961631752,2.677033519989853,1.0,0.069272894394046,0.5145402453062254,5,ng,2,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,0.6
5273b4e4-2b4f-47fa-834f-bd0d84d237b0,3,9.00499650442148,0.10515991900448375,2.0559506456703605,1.0,0.03606305343391772,0.5051277677595742,6,ng,2,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,1.0
5273b4e4-2b4f-47fa-834f-bd0d84d237b0,4,19.025007639304626,0.22940190225685003,2.8760435355833973,1.0,0.3698478460413523,0.6136255458160145,10,ng,2,2mz5up3e|6kvq85km|7dpcven3|keffe6of|quvmw080|zmzx9bpp,20260512,0.9
