market_uuid,trader_uuid,day,sh,cash,participant_code,treatment,initial_cash,shares0
b86ad8e8-b0f6-4578-8e02-b4a87378a89d,e2aa12cd-48ec-4b85-a4ed-c4fc7b454ddf,15,9.0,5100.01,z9n52ebr,gh,2600.0,20
b86ad8e8-b0f6-4578-8e02-b4a87378a89d,408a9933-2d73-49af-a89e-1257e848a4cf,15,0.0,5579.0,lh92b709,gh,3800.0,10
b86ad8e8-b0f6-4578-8e02-b4a87378a89d,85c25fb0-b87a-41cb-a477-b786b6785b79,15,2.0,5625.63,729v3r7i,gh,2600.0,20
b86ad8e8-b0f6-4578-8e02-b4a87378a89d,274b90df-f4ee-4a06-b02e-fef62796b15f,15,2.0,5140.0,aac2mc3k,gh,3800.0,10
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,bb1de49e-9922-4e51-bf38-42f79bfa10dd,15,6.0,4248.0999999999985,bs9r1rdm,gp,2600.0,20
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,3cc0e1ca-01ec-458e-a73f-5f979015e052,15,16.0,4755.98,9uh6p1vm,gp,3800.0,10
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,a415b3a2-d76d-4f31-8ddd-bdf441257d88,15,0.0,4679.870000000001,kb2z64e8,gp,2600.0,20
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,bd8df300-e107-4fb6-a1a9-1ee4f9ce263f,15,42.0,4845.78,ai0il249,gp,3800.0,10
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,0dfc44c4-9a29-46a9-8b14-42a4bda28f5c,15,21.0,4401.539999999999,pqnknbrr,gp,2600.0,20
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,b36c610c-8e4d-4bcb-b3bf-9233bc19bd59,15,5.0,4908.73,whc9aveo,gp,3800.0,10
c790e030-d023-437b-b3f5-54393dc4bea4,30fc2b4e-6bfb-433a-804d-56f7e84d7ba3,15,17.0,5521.09,g9jo03o9,ghp,2600.0,20
c790e030-d023-437b-b3f5-54393dc4bea4,7282a71b-4af9-4161-9243-59a7200491a8,15,2.0,5397.29,h0ebvwds,ghp,3800.0,10
c790e030-d023-437b-b3f5-54393dc4bea4,9d5dfc26-db4a-4f04-a070-57ca9e03a8a8,15,0.0,5472.78,u2aoz11d,ghp,2600.0,20
c790e030-d023-437b-b3f5-54393dc4bea4,f9508a9f-40fc-4e43-82d6-2a10682c80ee,15,19.0,5272.960000000001,90ay03zv,ghp,3800.0,10
c790e030-d023-437b-b3f5-54393dc4bea4,fc375a6c-df52-4846-b92d-128b8b2369fb,15,46.0,6331.199999999999,ukmvlwcs,ghp,2600.0,20
c790e030-d023-437b-b3f5-54393dc4bea4,29263d52-43a8-41f9-8fac-174bd27a3cac,15,6.0,4524.680000000001,ehyb34jx,ghp,3800.0,10
1929c09c-602b-4617-8659-48b1a29c8097,805afd8a-f298-447c-b524-fcfacc9b528f,15,30.0,3910.919999999999,6xvvhy1g,ng,2600.0,20
1929c09c-602b-4617-8659-48b1a29c8097,fc1e2a3f-5601-4c5f-9adf-19d17e6e5667,15,-1.0,5851.379999999999,o6ptk42l,ng,3800.0,10
1929c09c-602b-4617-8659-48b1a29c8097,79bc089c-0e42-4ffb-a089-d39727a7ad5e,15,40.0,4182.860000000001,vitm387c,ng,2600.0,20
1929c09c-602b-4617-8659-48b1a29c8097,cd733786-3f26-45f5-9434-5391feb2db91,15,8.0,5720.8099999999995,nngm5qgp,ng,3800.0,10
1929c09c-602b-4617-8659-48b1a29c8097,e3a0615f-a8a1-4546-bc68-9c947e9bf488,15,16.0,5177.400000000001,9x5fpgk2,ng,2600.0,20
1929c09c-602b-4617-8659-48b1a29c8097,eae02f14-4e82-48f4-9971-bdb53d8c832b,15,-3.0,7752.629999999998,7d70uqk8,ng,3800.0,10
562efb1b-a346-43e9-8059-5c07029ce57e,bc406764-852c-4301-aac5-ffda79e1d352,15,13.0,5389.100000000001,dadcupjc,ghp,2600.0,20
562efb1b-a346-43e9-8059-5c07029ce57e,90a3d963-fbea-46b9-8de6-7bf9d6b601c5,15,13.0,6024.800000000001,stzawa55,ghp,3800.0,10
562efb1b-a346-43e9-8059-5c07029ce57e,0eef23b9-e989-4879-a424-0549e92340f7,15,0.0,6891.31,ja9vp1ab,ghp,2600.0,20
562efb1b-a346-43e9-8059-5c07029ce57e,51571e52-e5e1-4e31-b9d8-616043a0be9a,15,22.0,5276.970000000001,tzbpp88u,ghp,3800.0,10
562efb1b-a346-43e9-8059-5c07029ce57e,6c1cc253-2d3c-4c02-96fe-14e14b6bdce5,15,3.0,4511.930000000001,gr27p5tr,ghp,2600.0,20
562efb1b-a346-43e9-8059-5c07029ce57e,da37c669-bb41-4646-a780-46fa1fade433,15,39.0,4781.890000000001,e60078af,ghp,3800.0,10
7639dc96-fd01-4576-8cdc-79c9d30dcd81,66251611-12a2-4944-8723-b591a69a9824,15,20.0,4530.0,g9jo03o9,ghp,2600.0,20
7639dc96-fd01-4576-8cdc-79c9d30dcd81,0d138ea8-8160-4263-bab0-ef399294f8a7,15,1.0,5115.91,h0ebvwds,ghp,3800.0,10
7639dc96-fd01-4576-8cdc-79c9d30dcd81,145e83a3-2fb7-443a-93d3-6f7e84aec434,15,0.0,4855.639999999999,u2aoz11d,ghp,2600.0,20
7639dc96-fd01-4576-8cdc-79c9d30dcd81,9cf3eabc-27f7-4754-a78b-8b9b1aca36d4,15,5.0,4453.26,90ay03zv,ghp,3800.0,10
7639dc96-fd01-4576-8cdc-79c9d30dcd81,4ffcf78f-4023-4892-9eef-146a5c209835,15,57.0,5395.12,ukmvlwcs,ghp,2600.0,20
7639dc96-fd01-4576-8cdc-79c9d30dcd81,88efbdd9-40ef-4c34-921a-f39cc16113ce,15,7.0,3490.07,ehyb34jx,ghp,3800.0,10
aa648e2e-d329-4dd5-8902-af2bb6347519,266b409b-ab01-469b-9133-7915001aa253,15,40.0,2033.689999999999,6xvvhy1g,ng,2600.0,20
aa648e2e-d329-4dd5-8902-af2bb6347519,a1224b50-e54d-4401-acb4-4fb3bfac8e8d,15,1.0,5349.740000000001,o6ptk42l,ng,3800.0,10
aa648e2e-d329-4dd5-8902-af2bb6347519,4f2980e2-d10c-4c68-937f-78d5142dc0ef,15,1.0,8185.219999999999,vitm387c,ng,2600.0,20
aa648e2e-d329-4dd5-8902-af2bb6347519,198ae65a-873c-4c68-a85e-66eac976c7ab,15,45.0,-22.739999999999327,nngm5qgp,ng,3800.0,10
aa648e2e-d329-4dd5-8902-af2bb6347519,8ca21702-83a8-4430-9ead-0119fc913da6,15,23.0,4475.699999999999,9x5fpgk2,ng,2600.0,20
aa648e2e-d329-4dd5-8902-af2bb6347519,218b254a-e7c1-4487-8aff-ff693b11673d,15,-20.0,8294.39,7d70uqk8,ng,3800.0,10
c06d584f-16fe-42a0-a5b0-281026bd6ca3,571f8b54-ffdc-4466-8066-90fb81d9dfc1,15,3.0,4887.21,dadcupjc,ghp,2600.0,20
c06d584f-16fe-42a0-a5b0-281026bd6ca3,29127936-c621-49bd-a572-059f4be7598b,15,20.0,4033.49,stzawa55,ghp,3800.0,10
c06d584f-16fe-42a0-a5b0-281026bd6ca3,697c6d90-c662-4d2a-b95d-90564ff71af6,15,0.0,4736.62,ja9vp1ab,ghp,2600.0,20
c06d584f-16fe-42a0-a5b0-281026bd6ca3,dfd6c39d-ffc1-4115-942a-8b07c09007e9,15,24.0,4629.330000000001,tzbpp88u,ghp,3800.0,10
c06d584f-16fe-42a0-a5b0-281026bd6ca3,b1b707e4-d832-44a3-9c9f-a683db402492,15,9.0,5204.079999999999,gr27p5tr,ghp,2600.0,20
c06d584f-16fe-42a0-a5b0-281026bd6ca3,316252be-ca5a-49d1-8696-39b139312e4e,15,34.0,4349.27,e60078af,ghp,3800.0,10
468bae16-01fa-4b28-8367-2b7fc01e7aa7,4d3bbd69-519e-4f2d-86af-d252ccfd1141,15,0.0,4639.719999999999,5ldlcszn,ghp,2600.0,20
468bae16-01fa-4b28-8367-2b7fc01e7aa7,b44a4e84-5176-4bdf-bbd6-a803eeda8f89,15,12.0,5293.83,q5e90cmj,ghp,3800.0,10
468bae16-01fa-4b28-8367-2b7fc01e7aa7,2599d1e4-f216-4dc7-9669-3ec27c6aadcd,15,0.0,6004.57,zp1owmpd,ghp,2600.0,20
468bae16-01fa-4b28-8367-2b7fc01e7aa7,385afaf0-0dab-4f95-a820-87224bd6cf81,15,18.0,5355.48,yq2xbma3,ghp,3800.0,10
468bae16-01fa-4b28-8367-2b7fc01e7aa7,2f360b88-54c4-42c4-b310-c283fdf13010,15,0.0,5666.05,nmgjkj32,ghp,2600.0,20
468bae16-01fa-4b28-8367-2b7fc01e7aa7,daaf568f-afa2-4c5e-bef3-55028aa36749,15,60.0,5560.349999999999,cjmxcmcd,ghp,3800.0,10
792b99cc-c375-4006-9b7f-6b7ceeb15ffe,b8fa8faf-14d8-486c-be2e-08db7bc935b7,15,6.0,5489.18,00g81xoq,ng,2600.0,20
792b99cc-c375-4006-9b7f-6b7ceeb15ffe,7a553ede-c04b-4dd0-95ba-349324bec098,15,15.0,7005.45,3hlfki3e,ng,3800.0,10
792b99cc-c375-4006-9b7f-6b7ceeb15ffe,661249bb-54ed-48ff-b0d9-488e2a5e935e,15,32.0,4550.75,01xk5dk9,ng,2600.0,20
792b99cc-c375-4006-9b7f-6b7ceeb15ffe,753b92c6-7fb8-4e79-a05a-6922c6267211,15,3.0,4890.0,etak4i29,ng,3800.0,10
792b99cc-c375-4006-9b7f-6b7ceeb15ffe,3d636f94-36ed-4288-ba39-18c17615cfdd,15,20.0,4762.62,mrocn3qi,ng,2600.0,20
792b99cc-c375-4006-9b7f-6b7ceeb15ffe,f890bde4-a28b-4c88-944d-9e0582b7eb8f,15,14.0,5822.0,a9rbe355,ng,3800.0,10
b0eca25a-c9c1-4b52-a273-a509e63a7229,2b4b0db0-a220-4399-95d6-50f92fe7210b,15,2.0,6333.79,e70ixf6a,ghp,2600.0,20
b0eca25a-c9c1-4b52-a273-a509e63a7229,7b0d7d06-d31a-4713-9086-86a852529422,15,12.0,5105.15,yvu0j0px,ghp,3800.0,10
