market_uuid,treatment,gini_recon,gini_otree,sd_recon,sd_otree
04d50e49-bd58-4a7b-bf5a-9059d667defe,ng,0.05759003831417622,0.05239419302974424,528.8909197556711,484.3739873967916
17f3bde5-9e00-47d0-8909-b138b266b325,ng,0.03350587022052991,0.01507293032868328,380.0524525202628,164.242402158111
1929c09c-602b-4617-8659-48b1a29c8097,ng,0.12658772037468807,0.12595146977260144,1384.4470373931483,1498.7215527508793
468bae16-01fa-4b28-8367-2b7fc01e7aa7,ghp,0.041747539975399775,0.04490375389781726,458.44942743993056,496.23976481804385
520e90a9-5e9e-4bfa-8244-34e70674e93f,ghp,0.10068478459291712,0.039010903426791296,1047.7060147706832,400.3389097752054
5273b4e4-2b4f-47fa-834f-bd0d84d237b0,ng,0.11521481886036775,0.036332149818991924,1092.2345291496085,377.54284525070796
55ae4144-efe9-4ac1-adff-7ef37ab172bb,ghp,0.033034841954023016,0.03520642739854564,312.5909049860538,333.9767125813816
562efb1b-a346-43e9-8059-5c07029ce57e,ghp,0.07978342864095384,0.06991227064220178,867.4792651508543,826.832812282305
726a00be-8059-48c7-903b-975c7adfccb7,ghp,0.12465122126436783,0.12563271168880097,1427.0044018432457,1457.4390160643657
727aeab3-4e37-4074-aa8a-edb9ed62fd8f,gh,0.013565805658056571,0.018396131168726314,145.79204093502486,197.8043929407708
7639dc96-fd01-4576-8cdc-79c9d30dcd81,ghp,0.07087428160919539,0.06028187825108947,665.2079350999954,556.7941926062081
792b99cc-c375-4006-9b7f-6b7ceeb15ffe,ng,0.08226127511275114,0.08071025827573663,910.8990725431659,924.5309558689746
80f251dc-c278-4363-81ce-f661c1e5cc3d,gh,0.030457614942528723,0.028538214606052048,277.5755804821453,260.9510405165435
98308155-5ef4-4781-92b2-15de5ba68a70,gp,0.07027952029520294,0.07172253594457126,940.796426034878,978.4033963078145
a05edde7-d925-45e5-bd12-37b4af942736,gh,0.10189934399343994,0.10146688593819793,1088.707253121793,1094.463041708886
a5f35780-eeec-48f3-bd11-2a02633bc450,ghp,0.03159415064102563,0.028457847424684154,360.4252130285373,303.99736327803885
aa648e2e-d329-4dd5-8902-af2bb6347519,ng,0.3585386354004803,0.3318611003570349,3315.120207025179,3367.081365271706
aeea46bb-84ad-409e-b595-5f1ae9d39ed9,gp,0.028208692528735667,0.025999559512217704,260.78764548958264,255.31025578042573
b0eca25a-c9c1-4b52-a273-a509e63a7229,ghp,0.04175963509635094,0.04136581955252915,487.3203709676006,486.6698620488704
b86ad8e8-b0f6-4578-8e02-b4a87378a89d,gh,0.14508546394714164,0.14555072156196944,1749.5966347894782,1780.4469387768904
c06d584f-16fe-42a0-a5b0-281026bd6ca3,ghp,0.04534279214559384,0.048433805318005556,410.1528048910549,461.93930989543117
c790e030-d023-437b-b3f5-54393dc4bea4,ghp,0.05049446494464937,0.04907905288904916,577.4122902398243,590.8343735091909
d21a648c-851e-4cfb-8dc1-9849fa4daf59,ng,0.057346982758620664,0.05470121515368123,522.7870031666814,504.28046694936234
e2c2318e-0678-474d-bdf2-b31e6e134e04,ng,0.028323493234932353,0.02668554444310559,297.4900858179984,297.3691474021248
