market_uuid,trading_day,n_traders,avg_age,share_female,share_finance_course,share_trading_experience,share_high_education,avg_fin_quiz,sd_fin_quiz,avg_self_assessment,avg_overconfidence,sd_overconfidence,avg_cq_attempts,avg_wealth,sd_wealth,gini,avg_forecast,sd_forecast,share_feedback,share_speculator,share_fundamental,share_other,repetition,treatment,gamified,hedonic,price_notifications,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,cum_surge,cum_crash,cum_bubble_period
1929c09c-602b-4617-8659-48b1a29c8097,1,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.17808133805360674,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,5120.0,106.27829035132234,0.0104736328125,,,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,1,ng,0,0,0,10.0,119.775,-0.225,4.775,126.0,120.0,130.0,95.0,120,,,129.82,,0.03979166666666667,0,0,-0.0018749999999999527,0,0,0,0,0
562efb1b-a346-43e9-8059-5c07029ce57e,1,6,21.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.7361111111111112,0.09742043287083436,5.0,-0.23611111111111113,0.1901510121124981,3.8333333333333335,5000.0,152.6079945481232,0.0156,,,0.38888888888888884,0.05555555555555555,0.5555555555555556,0.0,1,ghp,1,1,1,8.0,9.5,-110.5,110.5,7.0,10.0,12.0,6.0,120,,,61.0,,0.9208333333333333,0,0,-0.9208333333333333,0,0,0,0,0
c790e030-d023-437b-b3f5-54393dc4bea4,1,6,22.5,0.16666666666666666,0.5,0.8333333333333334,0.5,0.7916666666666666,0.20241596335818537,6.0,-0.19166666666666668,0.09817784316682092,2.0,5140.0,413.376341848442,0.03631647211413749,,,0.3333333333333333,0.25,0.25,0.16666666666666666,1,ghp,1,1,1,9.0,173.33333333333334,53.333333333333336,53.333333333333336,160.0,180.0,185.0,160.0,120,,,159.23,,0.4444444444444445,0,0,0.44444444444444453,0,0,0,0,0
1929c09c-602b-4617-8659-48b1a29c8097,2,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.17808133805360674,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,5194.666666666667,372.5715924579685,0.036158346167008866,,,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,1,ng,0,0,0,38.0,129.76052631578946,17.760526315789477,17.760526315789477,129.82,129.0,130.0,129.0,112,126.0,,129.9,0.0303174603174603,0.1585761278195489,0,0,0.15857612781954877,0,0,0,0,0
562efb1b-a346-43e9-8059-5c07029ce57e,2,6,21.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.7361111111111112,0.09742043287083436,5.0,-0.23611111111111113,0.1901510121124981,3.8333333333333335,5112.0,155.52620357997554,0.015399495739871327,,,0.38888888888888884,0.05555555555555555,0.5555555555555556,0.0,1,ghp,1,1,1,5.0,61.0,-51.0,51.0,61.0,55.0,75.0,50.0,112,7.0,,60.0,7.7142857142857135,0.45535714285714285,1,0,-0.45535714285714285,0,0,1,0,0
c790e030-d023-437b-b3f5-54393dc4bea4,2,6,22.5,0.16666666666666666,0.5,0.8333333333333334,0.5,0.7916666666666666,0.20241596335818537,6.0,-0.19166666666666668,0.09817784316682092,2.0,5065.333333333333,669.594908811788,0.0620131394226551,,,0.3333333333333333,0.25,0.25,0.16666666666666666,1,ghp,1,1,1,13.0,162.36846153846153,50.36846153846154,50.36846153846154,159.23,164.54,167.9,155.63,112,160.0,,120.0,-0.004812500000000108,0.4497184065934066,0,0,0.4497184065934065,0,0,0,0,0
1929c09c-602b-4617-8659-48b1a29c8097,3,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.17808133805360674,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,5108.0,335.2153562711596,0.031166470895327637,130.0,67.52308247308224,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,1,ng,0,0,0,18.0,129.88944444444442,25.889444444444436,25.889444444444436,129.9,129.89,129.92,129.87,104,129.82,126.0,129.92,0.0006162378678171709,0.24893696581196573,0,0,0.2489369658119656,0,0,0,0,0
562efb1b-a346-43e9-8059-5c07029ce57e,3,6,21.166666666666668,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.7361111111111112,0.09742043287083436,5.0,-0.23611111111111113,0.1901510121124981,3.8333333333333335,5268.0,376.8688100652533,0.033467265671138106,0.0,40.8248290463863,0.38888888888888884,0.05555555555555555,0.5555555555555556,0.0,1,ghp,1,1,1,11.0,64.5909090909091,-39.40909090909091,39.40909090909091,60.0,65.0,69.0,59.0,104,61.0,7.0,61.0,-0.016393442622950838,0.3789335664335664,0,0,-0.3789335664335664,0,0,1,0,0
c790e030-d023-437b-b3f5-54393dc4bea4,3,6,22.5,0.16666666666666666,0.5,0.8333333333333334,0.5,0.7916666666666666,0.20241596335818537,6.0,-0.19166666666666668,0.09817784316682092,2.0,5030.666666666667,558.807290956969,0.05206842477250641,0.0,48.98979485566356,0.3333333333333333,0.25,0.25,0.16666666666666666,1,ghp,1,1,1,7.0,144.33857142857144,40.33857142857143,40.33857142857143,120.0,153.04,153.04,120.0,104,159.23,160.0,82.88,-0.24637317088488342,0.3878708791208791,0,0,0.38787087912087925,0,0,0,0,0
1929c09c-602b-4617-8659-48b1a29c8097,4,6,21.166666666666668,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.7361111111111112,0.17808133805360674,4.5,-0.28611111111111115,0.34406340931524476,2.8333333333333335,5538.0,752.950330978079,0.06855954817222416,,,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,1,ng,0,0,0,40.0,129.88725,33.88724999999999,33.88724999999999,129.92,129.89,129.92,129.81,96,129.9,129.82,129.9,0.0001539645881445395,0.3529921874999999,0,0,0.35299218749999994,0,0,0,0,0
