market_uuid,trading_day,avg_wealth,sd_wealth,gini,avg_forecast,sd_forecast,avg_overconfidence,share_feedback,share_speculator,share_fundamental,share_other,repetition,gamified,hybrid,algo_present,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,cum_surge,cum_crash,cum_bubble_period
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,1,5015.0,33.380918415851255,0.0029910269192422734,,,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,4.0,127.5,7.5,12.5,150.0,130.0,150.0,110.0,120,,,170.0,,0.10416666666666667,0,0,0.0625,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,2,5001.0,28.585710716070302,0.0028369326134773045,,,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,4.0,120.0,8.0,21.0,170.0,90.0,170.0,90.0,112,150.0,,100.0,0.1333333333333333,0.1875,0,0,0.07142857142857142,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,3,5001.0,27.95404391905708,0.0027119576084783043,23.625,43.811079811911895,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,4.0,96.25,-7.75,7.75,100.0,100.0,100.0,90.0,104,170.0,150.0,120.0,-0.4117647058823529,0.07451923076923077,0,0,-0.07451923076923077,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,4,5181.0,63.567736650419924,0.006411648330438139,,,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,2.0,125.0,29.0,29.0,120.0,130.0,130.0,120.0,96,100.0,170.0,90.0,0.19999999999999996,0.3020833333333333,0,0,0.3020833333333333,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,5,5361.0,136.99947862257412,0.013168019026301063,,,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,5.0,104.0,16.0,16.0,90.0,120.0,130.0,90.0,88,120.0,100.0,80.0,-0.25,0.18181818181818182,0,0,0.18181818181818182,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,6,5311.0,131.39145438617496,0.012915411410280549,23.625,43.811079811911895,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,4.0,81.0,1.0,1.0,80.0,82.0,82.0,80.0,80,90.0,120.0,77.0,-0.11111111111111116,0.0125,0,0,0.0125,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,7,5492.5,191.49263320407022,0.01826923076923077,,,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,5.0,80.0,8.0,8.0,77.0,80.0,84.0,77.0,72,80.0,90.0,66.0,-0.03749999999999998,0.1111111111111111,0,0,0.1111111111111111,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,8,5432.0,169.20739598830443,0.01607948269513991,,,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,2.0,70.5,6.5,6.5,66.0,75.0,75.0,66.0,64,77.0,80.0,55.0,-0.1428571428571429,0.1015625,0,0,0.1015625,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,9,5606.5,228.01441057216408,0.02125880674217426,0.0,0.0,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,3.0,65.33333333333333,9.333333333333334,10.0,55.0,66.0,75.0,55.0,56,66.0,77.0,66.0,-0.16666666666666663,0.17857142857142858,0,0,0.16666666666666657,0,0,0,0,0
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,10,5486.5,186.69685130101763,0.017725325799690148,,,0.0729166666666667,0.0,0.125,0.25,0.625,1,1,1,0,4.0,57.5,9.5,9.5,66.0,66.0,66.0,48.0,48,55.0,66.0,66.0,0.19999999999999996,0.19791666666666666,0,0,0.19791666666666666,0,0,0,0,0
