trading_session_uuid,is_simulated,market_number,trading_day,event_seq,event_ts,source_mbo_event_seq,source_order_id,source_order_event_type,best_bid_px,best_bid_sz,best_bid_ct,best_ask_px,best_ask_sz,best_ask_ct,spread,midpoint,source_created_ts
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,1,1,2026-04-07T16:17:17.331178+00:00,1,808847a3-30c4-4bee-8f65-f7002d7e5a33,add,110.0,1.0,1,,,,,,1775578637.412245
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,1,2,2026-04-07T16:17:21.886750+00:00,2,ac4aff9d-0077-4852-bc31-1f28d333a6b4,add,110.0,1.0,1,130.0,1.0,1,20.0,120.0,1775578641.915291
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,1,3,2026-04-07T16:17:26.267139+00:00,3,,trade,110.0,1.0,1,,,,,,1775578646.344765
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,1,4,2026-04-07T16:17:32.131936+00:00,6,82245222-a802-4be4-a499-96f092b89603,add,110.0,1.0,1,,,,,,1775578652.162411
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,1,5,2026-04-07T16:17:36.532867+00:00,7,86415940-4186-4b2f-a344-b017514277dd,add,110.0,1.0,1,120.0,1.0,1,10.0,115.0,1775578656.56021
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,1,6,2026-04-07T16:17:39.568196+00:00,8,,trade,110.0,1.0,1,,,,,,1775578659.637007
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,1,7,2026-04-07T16:17:44.185717+00:00,11,,trade,90.0,1.0,1,,,,,,1775578664.256631
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,1,8,2026-04-07T16:17:48.379463+00:00,14,f414dd50-97b9-4646-9b6b-9b65cf5978b5,add,90.0,1.0,1,,,,,,1775578668.407091
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,1,9,2026-04-07T16:17:53.338305+00:00,15,0dfa3621-49af-4d13-8dd1-5f06ebbe63c8,add,150.0,1.0,1,,,,,,1775578673.373866
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,1,10,2026-04-07T16:17:57.929782+00:00,16,cd9c3fef-a9fb-4eab-8656-a360d152420e,add,150.0,1.0,1,170.0,1.0,1,20.0,160.0,1775578677.957101
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,1,11,2026-04-07T16:18:01.227522+00:00,17,,trade,90.0,1.0,1,170.0,1.0,1,80.0,130.0,1775578681.388645
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,2,12,2026-04-07T16:18:53.954922+00:00,20,,trade,80.0,1.0,1,170.0,1.0,1,90.0,125.0,1775578734.03137
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,2,13,2026-04-07T16:19:05.802883+00:00,23,990d8d75-3b37-4137-be90-63e790cdef30,add,108.0,1.0,1,170.0,1.0,1,62.0,139.0,1775578745.833517
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,2,14,2026-04-07T16:19:11.115353+00:00,24,78b1ec01-bd8d-4a85-8c3b-6d9703bad1aa,add,108.0,1.0,1,112.0,1.0,1,4.0,110.0,1775578751.145259
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,2,15,2026-04-07T16:19:14.686442+00:00,25,,trade,108.0,1.0,1,170.0,1.0,1,62.0,139.0,1775578754.76682
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,2,16,2026-04-07T16:19:18.350891+00:00,28,,trade,80.0,1.0,1,170.0,1.0,1,90.0,125.0,1775578758.454021
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,2,17,2026-04-07T16:19:22.875323+00:00,31,,trade,80.0,1.0,1,,,,,,1775578762.946873
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,1,18,2026-04-07T16:20:24.772367+00:00,34,f414dd50-97b9-4646-9b6b-9b65cf5978b5,cancel,,,,,,,,,1775578824.778957
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,3,19,2026-04-07T16:20:28.506722+00:00,35,857305a3-ada1-4389-9bc1-4874d175bdb3,add,,,,100.0,1.0,1,,,1775578828.538943
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,3,20,2026-04-07T16:20:32.613021+00:00,36,fb83d4f6-e688-4d44-a306-0e9570bc72a0,add,90.0,1.0,1,100.0,1.0,1,10.0,95.0,1775578832.641584
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,3,21,2026-04-07T16:20:36.430065+00:00,37,,trade,90.0,1.0,1,,,,,,1775578836.502409
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,3,22,2026-04-07T16:20:46.438384+00:00,40,f5f3ec90-ef28-4124-8835-6eb6aff552a5,add,95.0,1.0,1,,,,,,1775578846.466998
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,3,23,2026-04-07T16:20:49.700495+00:00,41,,trade,90.0,1.0,1,,,,,,1775578849.772061
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,0,1,3,24,2026-04-07T16:20:53.863477+00:00,44,,trade,,,,,,,,,1775578853.93464
