session_code,participant_code,market_uuid,trader_uuid,gamified,hybrid,algo_present,trading_day,payoff,initial_cash,forecast,forecast_confidence,current_cash,num_shares,algorithm_belief,trade_payoff,fin_quiz_score,self_assessment,overconfidence,cq_attempt_count,gender_female,age,finance_course,trading_experience,high_education,repetition,n_buys,n_sells,net_position,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,wealth_day,gini,feedback_flag,speculator_flag,fundamental_flag,other_flag
skdclskt,9bv3gi2y,6f73b226-f3d6-453b-bec2-d4fe1457f0e7,8f572d20-95a7-46ba-ba2a-8e808117b347,1,0,0,1,6097.0,2600.0,,,2600.0,21.0,,5887.0,0.9166666666666666,1,-0.8166666666666667,45,0,29,0,0,1,1,0.0,0.0,0.0,0.0,,,,,,,,120,,,9.0,,,0,0,,0,0,5120.0,0.0033200531208499337,0.0,1.0,0.0,0.0
skdclskt,1tnknpce,6f73b226-f3d6-453b-bec2-d4fe1457f0e7,0d49a0af-7711-49c1-a980-1ce4cb747f19,1,0,0,1,4685.0,3800.0,,,3800.0,10.0,,4575.0,0.75,7,-0.050000000000000044,3,0,18,0,1,1,1,0.0,0.0,0.0,0.0,,,,,,,,120,,,9.0,,,0,0,,0,0,5000.0,0.0033200531208499337,0.0,1.0,0.0,0.0
skdclskt,zkl94ida,6f73b226-f3d6-453b-bec2-d4fe1457f0e7,261c9bee-da67-4d1d-8144-87becb48c51d,1,0,0,1,7353.0,2600.0,,,2600.0,20.0,,7163.0,0.9166666666666666,5,-0.41666666666666663,1,0,18,0,0,0,1,0.0,0.0,0.0,0.0,,,,,,,,120,,,9.0,,,0,0,,0,0,5000.0,0.0033200531208499337,0.0,0.0,1.0,0.0
skdclskt,h7nk13vs,6f73b226-f3d6-453b-bec2-d4fe1457f0e7,f1ebfa30-9819-4739-bb3e-139f3ebb772b,1,0,0,1,5148.0,3800.0,,,3800.0,10.0,,5028.0,0.6666666666666666,4,-0.2666666666666666,4,1,19,1,0,0,1,0.0,0.0,0.0,0.0,,,,,,,,120,,,9.0,,,0,0,,0,0,5000.0,0.0033200531208499337,0.0,0.0,1.0,0.0
skdclskt,8rrxo8mh,6f73b226-f3d6-453b-bec2-d4fe1457f0e7,239c3d76-053a-40ec-a8c7-ed2420592ca4,1,0,0,1,5698.0,2600.0,,,2600.0,20.0,,5528.0,0.75,7,-0.050000000000000044,2,1,21,1,0,1,1,0.0,0.0,0.0,0.0,,,,,,,,120,,,9.0,,,0,0,,0,0,5000.0,0.0033200531208499337,0.0,1.0,0.0,0.0
skdclskt,53wkzdsp,6f73b226-f3d6-453b-bec2-d4fe1457f0e7,54ceb134-b66d-4f4f-8ffb-b677a3be5d9d,1,0,0,1,5089.0,3800.0,,,3800.0,10.0,,4929.0,0.8333333333333334,8,-0.033333333333333326,3,1,36,0,0,1,1,0.0,0.0,0.0,0.0,,,,,,,,120,,,9.0,,,0,0,,0,0,5000.0,0.0033200531208499337,1.0,0.0,0.0,0.0
skdclskt,2tmxyq59,07790da6-16e1-4c15-9884-8a76c7e84392,d9d68e96-849c-41c0-8094-a55ca3b3a355,1,0,0,1,5570.0,2600.0,,,2600.0,20.0,,5480.0,0.5833333333333334,7,0.11666666666666659,1,0,28,0,0,1,1,0.0,0.0,0.0,0.0,,,,,,,,120,,,,,,0,0,,0,0,5000.0,0.0,0.0,0.0,1.0,0.0
skdclskt,klvgct3w,07790da6-16e1-4c15-9884-8a76c7e84392,c97d7d05-3010-4231-8b4c-ad5e9ce763a8,1,0,0,1,5086.0,3800.0,,,3800.0,10.0,,4926.0,0.6666666666666666,7,0.033333333333333326,2,1,19,0,0,0,1,0.0,0.0,0.0,0.0,,,,,,,,120,,,,,,0,0,,0,0,5000.0,0.0,0.0,0.0,0.0,1.0
skdclskt,fa5fpl4w,07790da6-16e1-4c15-9884-8a76c7e84392,804b1c25-e400-485b-a0e0-2371a4903700,1,0,0,1,5251.0,2600.0,,,2600.0,20.0,,5161.0,0.75,0,-0.75,6,1,28,0,0,1,1,0.0,0.0,0.0,0.0,,,,,,,,120,,,,,,0,0,,0,0,5000.0,0.0,0.0,0.0,0.0,1.0
skdclskt,0sa5xwid,07790da6-16e1-4c15-9884-8a76c7e84392,7b242fc9-bd1b-4836-a718-b85e1c1a176b,1,0,0,1,5140.0,3800.0,,,3800.0,10.0,,5050.0,0.5833333333333334,1,-0.4833333333333334,1,1,18,0,0,1,1,0.0,0.0,0.0,0.0,,,,,,,,120,,,,,,0,0,,0,0,5000.0,0.0,0.0,1.0,0.0,0.0
skdclskt,w5nuyib0,07790da6-16e1-4c15-9884-8a76c7e84392,29625c5b-f726-4de1-8b9e-9c49743b4cab,1,0,0,1,4813.0,2600.0,,,2600.0,20.0,,4773.0,0.3333333333333333,3,-0.033333333333333326,1,1,18,0,0,1,1,0.0,0.0,0.0,0.0,,,,,,,,120,,,,,,0,0,,0,0,5000.0,0.0,0.0,0.0,0.0,1.0
