trading_session_uuid,recipient_trader_uuid,recipient_trader_type,message_type,content_json,timestamp,created_ts
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,376885f3-c47c-49f0-a0be-9a38c1b06b80,HUMAN,update,"{""available_cash"": 2600.0, ""available_shares"": 20.0, ""balances_delta"": {}, ""current_price"": null, ""individual"": true, ""inventory"": {""cash"": 2600.0, ""shares"": 20.0}, ""message"": ""Registered successfully"", ""mid_price"": null, ""midpoint"": null, ""order_book"": {""asks"": [], ""bids"": []}, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""orders_delta"": {""added"": [], ""removed"": [], ""updated"": []}, ""reserved_cash"": 0.0, ""reserved_shares"": 0.0, ""spread"": null, ""trader_id"": ""376885f3-c47c-49f0-a0be-9a38c1b06b80"", ""trader_orders"": [], ""transaction_count"": 0, ""transaction_history"": [], ""type"": ""update""}",2026-04-07T16:17:13.322235+00:00,1775578633.322247
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,9f70b144-bb13-4260-831f-f9cb21838f0b,HUMAN,update,"{""available_cash"": 3800.0, ""available_shares"": 10.0, ""balances_delta"": {}, ""current_price"": null, ""individual"": true, ""inventory"": {""cash"": 3800.0, ""shares"": 10.0}, ""message"": ""Registered successfully"", ""mid_price"": null, ""midpoint"": null, ""order_book"": {""asks"": [], ""bids"": []}, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""orders_delta"": {""added"": [], ""removed"": [], ""updated"": []}, ""reserved_cash"": 0.0, ""reserved_shares"": 0.0, ""spread"": null, ""trader_id"": ""9f70b144-bb13-4260-831f-f9cb21838f0b"", ""trader_orders"": [], ""transaction_count"": 0, ""transaction_history"": [], ""type"": ""update""}",2026-04-07T16:17:13.799316+00:00,1775578633.799325
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,9d53611f-f803-450c-bed2-ad0697c26298,HUMAN,update,"{""available_cash"": 2600.0, ""available_shares"": 20.0, ""balances_delta"": {}, ""current_price"": null, ""individual"": true, ""inventory"": {""cash"": 2600.0, ""shares"": 20.0}, ""message"": ""Registered successfully"", ""mid_price"": null, ""midpoint"": null, ""order_book"": {""asks"": [], ""bids"": []}, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""orders_delta"": {""added"": [], ""removed"": [], ""updated"": []}, ""reserved_cash"": 0.0, ""reserved_shares"": 0.0, ""spread"": null, ""trader_id"": ""9d53611f-f803-450c-bed2-ad0697c26298"", ""trader_orders"": [], ""transaction_count"": 0, ""transaction_history"": [], ""type"": ""update""}",2026-04-07T16:17:14.223159+00:00,1775578634.223169
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,e35674dc-ec96-4955-9641-275f1f5a2902,HUMAN,update,"{""available_cash"": 3800.0, ""available_shares"": 10.0, ""balances_delta"": {}, ""current_price"": null, ""individual"": true, ""inventory"": {""cash"": 3800.0, ""shares"": 10.0}, ""message"": ""Registered successfully"", ""mid_price"": null, ""midpoint"": null, ""order_book"": {""asks"": [], ""bids"": []}, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""orders_delta"": {""added"": [], ""removed"": [], ""updated"": []}, ""reserved_cash"": 0.0, ""reserved_shares"": 0.0, ""spread"": null, ""trader_id"": ""e35674dc-ec96-4955-9641-275f1f5a2902"", ""trader_orders"": [], ""transaction_count"": 0, ""transaction_history"": [], ""type"": ""update""}",2026-04-07T16:17:14.563236+00:00,1775578634.563245
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,022bbf5d-3d6e-47c2-9a2a-66d712d45701,HUMAN,update,"{""available_cash"": 3800.0, ""available_shares"": 10.0, ""balances_delta"": {}, ""current_price"": null, ""individual"": true, ""inventory"": {""cash"": 3800.0, ""shares"": 10.0}, ""message"": ""Registered successfully"", ""mid_price"": null, ""midpoint"": null, ""order_book"": {""asks"": [], ""bids"": []}, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""orders_delta"": {""added"": [], ""removed"": [], ""updated"": []}, ""reserved_cash"": 0.0, ""reserved_shares"": 0.0, ""spread"": null, ""trader_id"": ""022bbf5d-3d6e-47c2-9a2a-66d712d45701"", ""trader_orders"": [], ""transaction_count"": 0, ""transaction_history"": [], ""type"": ""update""}",2026-04-07T16:17:14.846424+00:00,1775578634.846433
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,fde48bd3-7bd3-4e77-a95f-25abeea55ed0,HUMAN,update,"{""available_cash"": 2600.0, ""available_shares"": 20.0, ""balances_delta"": {}, ""current_price"": null, ""individual"": true, ""inventory"": {""cash"": 2600.0, ""shares"": 20.0}, ""message"": ""Registered successfully"", ""mid_price"": null, ""midpoint"": null, ""order_book"": {""asks"": [], ""bids"": []}, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""orders_delta"": {""added"": [], ""removed"": [], ""updated"": []}, ""reserved_cash"": 0.0, ""reserved_shares"": 0.0, ""spread"": null, ""trader_id"": ""fde48bd3-7bd3-4e77-a95f-25abeea55ed0"", ""trader_orders"": [], ""transaction_count"": 0, ""transaction_history"": [], ""type"": ""update""}",2026-04-07T16:17:15.159330+00:00,1775578635.15934
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,d08bcb2b-8529-4fb2-8df1-d0ba2880bbed,HUMAN,update,"{""available_cash"": 3800.0, ""available_shares"": 10.0, ""balances_delta"": {}, ""current_price"": null, ""individual"": true, ""inventory"": {""cash"": 3800.0, ""shares"": 10.0}, ""message"": ""Registered successfully"", ""mid_price"": null, ""midpoint"": null, ""order_book"": {""asks"": [], ""bids"": []}, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""orders_delta"": {""added"": [], ""removed"": [], ""updated"": []}, ""reserved_cash"": 0.0, ""reserved_shares"": 0.0, ""spread"": null, ""trader_id"": ""d08bcb2b-8529-4fb2-8df1-d0ba2880bbed"", ""trader_orders"": [], ""transaction_count"": 0, ""transaction_history"": [], ""type"": ""update""}",2026-04-07T16:17:15.521758+00:00,1775578635.521767
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,3f6f9d47-f2e6-44f6-8da9-2c8a16a3df63,HUMAN,update,"{""available_cash"": 2600.0, ""available_shares"": 20.0, ""balances_delta"": {}, ""current_price"": null, ""individual"": true, ""inventory"": {""cash"": 2600.0, ""shares"": 20.0}, ""message"": ""Registered successfully"", ""mid_price"": null, ""midpoint"": null, ""order_book"": {""asks"": [], ""bids"": []}, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""orders_delta"": {""added"": [], ""removed"": [], ""updated"": []}, ""reserved_cash"": 0.0, ""reserved_shares"": 0.0, ""spread"": null, ""trader_id"": ""3f6f9d47-f2e6-44f6-8da9-2c8a16a3df63"", ""trader_orders"": [], ""transaction_count"": 0, ""transaction_history"": [], ""type"": ""update""}",2026-04-07T16:17:15.892568+00:00,1775578635.892577
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,3f6f9d47-f2e6-44f6-8da9-2c8a16a3df63,HUMAN,update,"{""balances_delta"": {""available_cash"": -110.0, ""reserved_cash"": 110.0}, ""current_price"": null, ""mid_price"": null, ""midpoint"": null, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [{""x"": 110.0, ""y"": 1.0}], ""removed"": []}}, ""orders_delta"": {""added"": [{""amount"": 1.0, ""id"": ""808847a3-30c4-4bee-8f65-f7002d7e5a33"", ""order_type"": 1, ""price"": 110.0, ""session_id"": ""418c69c6-ec34-43cb-8592-f2fd1b6fcf4f"", ""status"": ""active"", ""timestamp"": ""2026-04-07 16:17:17.331178+00:00"", ""trader_id"": ""3f6f9d47-f2e6-44f6-8da9-2c8a16a3df63"", ""trading_day"": 1}], ""removed"": [], ""updated"": []}, ""removed_active_orders"": [], ""spread"": null, ""transaction_count"": 0, ""transactions"": [], ""type"": ""update""}",2026-04-07T16:17:17.450500+00:00,1775578637.450505
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,,,update,"{""history_delta"": [], ""incoming_message"": {""amount"": 1, ""order_type"": 1, ""price"": 110, ""trader_id"": ""3f6f9d47-f2e6-44f6-8da9-2c8a16a3df63""}, ""midpoint"": null, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [{""x"": 110.0, ""y"": 1.0}], ""removed"": []}}, ""spread"": null, ""text"": ""book is updated"", ""transaction_price"": null, ""type"": ""update""}",2026-04-07T16:17:17.486340+00:00,1775578637.486348
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,3f6f9d47-f2e6-44f6-8da9-2c8a16a3df63,HUMAN,update,"{""balances_delta"": {""available_shares"": -1.0, ""reserved_shares"": 1.0}, ""current_price"": null, ""mid_price"": 120.0, ""midpoint"": 120.0, ""order_book_delta"": {""asks"": {""added_or_updated"": [{""x"": 130.0, ""y"": 1.0}], ""removed"": []}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""orders_delta"": {""added"": [{""amount"": 1.0, ""id"": ""ac4aff9d-0077-4852-bc31-1f28d333a6b4"", ""order_type"": -1, ""price"": 130.0, ""session_id"": ""418c69c6-ec34-43cb-8592-f2fd1b6fcf4f"", ""status"": ""active"", ""timestamp"": ""2026-04-07 16:17:21.886750+00:00"", ""trader_id"": ""3f6f9d47-f2e6-44f6-8da9-2c8a16a3df63"", ""trading_day"": 1}], ""removed"": [], ""updated"": []}, ""removed_active_orders"": [], ""spread"": 20.0, ""transaction_count"": 0, ""transactions"": [], ""type"": ""update""}",2026-04-07T16:17:21.925345+00:00,1775578641.92535
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,,,update,"{""history_delta"": [], ""incoming_message"": {""amount"": 1, ""order_type"": -1, ""price"": 130, ""trader_id"": ""3f6f9d47-f2e6-44f6-8da9-2c8a16a3df63""}, ""midpoint"": 120.0, ""order_book_delta"": {""asks"": {""added_or_updated"": [{""x"": 130.0, ""y"": 1.0}], ""removed"": []}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""spread"": 20.0, ""text"": ""book is updated"", ""transaction_price"": null, ""type"": ""update""}",2026-04-07T16:17:21.939456+00:00,1775578641.939464
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,3f6f9d47-f2e6-44f6-8da9-2c8a16a3df63,HUMAN,update,"{""balances_delta"": {""available_cash"": 130.0, ""cash"": 130.0, ""reserved_shares"": -1.0, ""shares"": -1.0}, ""current_price"": 130.0, ""mid_price"": null, ""midpoint"": null, ""new_transactions"": [{""amount"": 1.0, ""id"": ""ac4aff9d-0077-4852-bc31-1f28d333a6b4"", ""price"": 130.0, ""timestamp"": ""2026-04-07 16:17:26.267139+00:00"", ""trading_day"": 1, ""transaction_id"": ""55d41c1f-5d0a-4ded-affe-57cc93b09e3f"", ""type"": ""ask""}], ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": [130.0]}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""orders_delta"": {""added"": [], ""removed"": [""ac4aff9d-0077-4852-bc31-1f28d333a6b4""], ""updated"": []}, ""spread"": null, ""transaction_count"": 1, ""type"": ""update""}",2026-04-07T16:17:26.355595+00:00,1775578646.355599
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,9f70b144-bb13-4260-831f-f9cb21838f0b,HUMAN,update,"{""balances_delta"": {""available_cash"": -130.0, ""available_shares"": 1.0, ""cash"": -130.0, ""shares"": 1.0}, ""current_price"": 130.0, ""mid_price"": null, ""midpoint"": null, ""new_transactions"": [{""amount"": 1.0, ""id"": ""da85a453-e37f-4036-9c40-07f8d99ac751"", ""price"": 130.0, ""timestamp"": ""2026-04-07 16:17:26.267139+00:00"", ""trading_day"": 1, ""transaction_id"": ""55d41c1f-5d0a-4ded-affe-57cc93b09e3f"", ""type"": ""bid""}], ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [{""x"": 110.0, ""y"": 1.0}], ""removed"": []}}, ""orders_delta"": {""added"": [], ""removed"": [], ""updated"": []}, ""spread"": null, ""transaction_count"": 1, ""type"": ""update""}",2026-04-07T16:17:26.369436+00:00,1775578646.36944
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,9f70b144-bb13-4260-831f-f9cb21838f0b,HUMAN,update,"{""balances_delta"": {}, ""current_price"": 130.0, ""mid_price"": null, ""midpoint"": null, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""orders_delta"": {""added"": [], ""removed"": [], ""updated"": []}, ""removed_active_orders"": [], ""spread"": null, ""transaction_count"": 1, ""transactions"": [], ""type"": ""update""}",2026-04-07T16:17:26.383075+00:00,1775578646.383083
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,,,update,"{""history_delta"": [{""_trade_mbo_event_seq"": 3, ""aggressor_side"": ""B"", ""ask_order_id"": ""ac4aff9d-0077-4852-bc31-1f28d333a6b4"", ""ask_trader_uuid"": ""3f6f9d47-f2e6-44f6-8da9-2c8a16a3df63"", ""bid_order_id"": ""da85a453-e37f-4036-9c40-07f8d99ac751"", ""bid_trader_uuid"": ""9f70b144-bb13-4260-831f-f9cb21838f0b"", ""id"": ""55d41c1f-5d0a-4ded-affe-57cc93b09e3f"", ""price"": 130.0, ""quantity"": 1.0, ""timestamp"": ""2026-04-07 16:17:26.267139+00:00"", ""trading_day"": 1, ""trading_session_id"": ""418c69c6-ec34-43cb-8592-f2fd1b6fcf4f""}], ""incoming_message"": {""amount"": 1, ""order_type"": 1, ""price"": 130, ""trader_id"": ""9f70b144-bb13-4260-831f-f9cb21838f0b""}, ""midpoint"": null, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": [130.0]}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""spread"": null, ""text"": ""book is updated"", ""transaction_price"": 130.0, ""type"": ""update""}",2026-04-07T16:17:26.396460+00:00,1775578646.396465
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,022bbf5d-3d6e-47c2-9a2a-66d712d45701,HUMAN,update,"{""balances_delta"": {""available_cash"": -90.0, ""reserved_cash"": 90.0}, ""current_price"": 130.0, ""mid_price"": null, ""midpoint"": null, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [{""x"": 110.0, ""y"": 1.0}, {""x"": 90.0, ""y"": 1.0}], ""removed"": []}}, ""orders_delta"": {""added"": [{""amount"": 1.0, ""id"": ""82245222-a802-4be4-a499-96f092b89603"", ""order_type"": 1, ""price"": 90.0, ""session_id"": ""418c69c6-ec34-43cb-8592-f2fd1b6fcf4f"", ""status"": ""active"", ""timestamp"": ""2026-04-07 16:17:32.131936+00:00"", ""trader_id"": ""022bbf5d-3d6e-47c2-9a2a-66d712d45701"", ""trading_day"": 1}], ""removed"": [], ""updated"": []}, ""removed_active_orders"": [], ""spread"": null, ""transaction_count"": 0, ""transactions"": [], ""type"": ""update""}",2026-04-07T16:17:32.182048+00:00,1775578652.182052
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,,,update,"{""history_delta"": [{""_trade_mbo_event_seq"": 3, ""aggressor_side"": ""B"", ""ask_order_id"": ""ac4aff9d-0077-4852-bc31-1f28d333a6b4"", ""ask_trader_uuid"": ""3f6f9d47-f2e6-44f6-8da9-2c8a16a3df63"", ""bid_order_id"": ""da85a453-e37f-4036-9c40-07f8d99ac751"", ""bid_trader_uuid"": ""9f70b144-bb13-4260-831f-f9cb21838f0b"", ""id"": ""55d41c1f-5d0a-4ded-affe-57cc93b09e3f"", ""price"": 130.0, ""quantity"": 1.0, ""timestamp"": ""2026-04-07 16:17:26.267139+00:00"", ""trading_day"": 1, ""trading_session_id"": ""418c69c6-ec34-43cb-8592-f2fd1b6fcf4f""}], ""incoming_message"": {""amount"": 1, ""order_type"": 1, ""price"": 90, ""trader_id"": ""022bbf5d-3d6e-47c2-9a2a-66d712d45701""}, ""midpoint"": null, ""order_book_delta"": {""asks"": {""added_or_updated"": [], ""removed"": []}, ""bids"": {""added_or_updated"": [{""x"": 90.0, ""y"": 1.0}], ""removed"": []}}, ""spread"": null, ""text"": ""book is updated"", ""transaction_price"": 130.0, ""type"": ""update""}",2026-04-07T16:17:32.197603+00:00,1775578652.197607
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,022bbf5d-3d6e-47c2-9a2a-66d712d45701,HUMAN,update,"{""balances_delta"": {""available_shares"": -1.0, ""reserved_shares"": 1.0}, ""current_price"": 130.0, ""mid_price"": 115.0, ""midpoint"": 115.0, ""order_book_delta"": {""asks"": {""added_or_updated"": [{""x"": 120.0, ""y"": 1.0}], ""removed"": []}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""orders_delta"": {""added"": [{""amount"": 1.0, ""id"": ""86415940-4186-4b2f-a344-b017514277dd"", ""order_type"": -1, ""price"": 120.0, ""session_id"": ""418c69c6-ec34-43cb-8592-f2fd1b6fcf4f"", ""status"": ""active"", ""timestamp"": ""2026-04-07 16:17:36.532867+00:00"", ""trader_id"": ""022bbf5d-3d6e-47c2-9a2a-66d712d45701"", ""trading_day"": 1}], ""removed"": [], ""updated"": []}, ""removed_active_orders"": [], ""spread"": 10.0, ""transaction_count"": 0, ""transactions"": [], ""type"": ""update""}",2026-04-07T16:17:36.570752+00:00,1775578656.570755
418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,,,update,"{""history_delta"": [{""_trade_mbo_event_seq"": 3, ""aggressor_side"": ""B"", ""ask_order_id"": ""ac4aff9d-0077-4852-bc31-1f28d333a6b4"", ""ask_trader_uuid"": ""3f6f9d47-f2e6-44f6-8da9-2c8a16a3df63"", ""bid_order_id"": ""da85a453-e37f-4036-9c40-07f8d99ac751"", ""bid_trader_uuid"": ""9f70b144-bb13-4260-831f-f9cb21838f0b"", ""id"": ""55d41c1f-5d0a-4ded-affe-57cc93b09e3f"", ""price"": 130.0, ""quantity"": 1.0, ""timestamp"": ""2026-04-07 16:17:26.267139+00:00"", ""trading_day"": 1, ""trading_session_id"": ""418c69c6-ec34-43cb-8592-f2fd1b6fcf4f""}], ""incoming_message"": {""amount"": 1, ""order_type"": -1, ""price"": 120, ""trader_id"": ""022bbf5d-3d6e-47c2-9a2a-66d712d45701""}, ""midpoint"": 115.0, ""order_book_delta"": {""asks"": {""added_or_updated"": [{""x"": 120.0, ""y"": 1.0}], ""removed"": []}, ""bids"": {""added_or_updated"": [], ""removed"": []}}, ""spread"": 10.0, ""text"": ""book is updated"", ""transaction_price"": 130.0, ""type"": ""update""}",2026-04-07T16:17:36.585010+00:00,1775578656.585014
